_id,price,coutnry,group,weight
ObjectId("5c825dd82dcf3568a17d27b1"),732,Россия,1,600
ObjectId("5c825dd82dcf3568a17d27b2"),1336,Россия,2,700
ObjectId("5c825dd82dcf3568a17d27b5"),1944,Россия,4,800
ObjectId("5c825dd82dcf3568a17d27b6"),2307,Россия,1,800
ObjectId("5c825dd82dcf3568a17d27b7"),1437,Россия,3,800
ObjectId("5c825dd82dcf3568a17d27b9"),2260,Россия,1,700
ObjectId("5c825dd82dcf3568a17d27ba"),2317,Россия,2,900
ObjectId("5c825dd82dcf3568a17d27be"),1413,Россия,3,900
ObjectId("5c825dd82dcf3568a17d27c0"),496,Россия,1,450
ObjectId("5c825dd82dcf3568a17d27c1"),1906,Россия,1,800
ObjectId("5c825dd82dcf3568a17d27c2"),728,Россия,4,800
ObjectId("5c825dd82dcf3568a17d27c3"),6,Россия,4,750
ObjectId("5c825dd82dcf3568a17d27c5"),550,Россия,2,450
ObjectId("5c825dd82dcf3568a17d27c6"),2421,Россия,2,800
ObjectId("5c825dd82dcf3568a17d27c7"),1375,Россия,1,800
ObjectId("5c825dd82dcf3568a17d27c8"),2040,Россия,4,500
ObjectId("5c825dd82dcf3568a17d27c9"),1737,Россия,3,500
ObjectId("5c825dd82dcf3568a17d27ca"),765,Италия,3,500
ObjectId("5c825dd82dcf3568a17d27cb"),1355,Россия,3,1
ObjectId("5c825dd82dcf3568a17d27cc"),2108,Россия,1,400
ObjectId("5c825dd82dcf3568a17d27cd"),1371,Россия,3,250
ObjectId("5c825dd82dcf3568a17d27ce"),1839,Россия,2,400
ObjectId("5c825dd82dcf3568a17d27cf"),642,Россия,1,450
ObjectId("5c825dd82dcf3568a17d27d0"),177,Россия,4,500
ObjectId("5c825dd82dcf3568a17d27d1"),2255,Россия,3,400
ObjectId("5c825dd82dcf3568a17d27d2"),2281,Россия,2,1
ObjectId("5c825dd82dcf3568a17d27d3"),385,Россия,1,900
ObjectId("5c825dd82dcf3568a17d27d4"),1009,Россия,3,900
ObjectId("5c825dd82dcf3568a17d27d5"),2165,Россия,3,450
ObjectId("5c825dd82dcf3568a17d27d6"),149,Россия,1,900
ObjectId("5c825dd82dcf3568a17d27d7"),2491,Россия,2,900
ObjectId("5c825dd82dcf3568a17d27d8"),2427,Россия,2,5
ObjectId("5c825dd82dcf3568a17d27d9"),866,Россия,4,400
ObjectId("5c825dd82dcf3568a17d27da"),1770,Россия,4,5
ObjectId("5c825dd82dcf3568a17d27db"),2132,Россия,1,900
ObjectId("5c825dd82dcf3568a17d27dc"),927,Россия,2,400
ObjectId("5c825dd82dcf3568a17d27dd"),2166,Россия,4,450
ObjectId("5c825dd82dcf3568a17d27de"),13,Россия,3,400
ObjectId("5c825dd82dcf3568a17d27df"),1024,Россия,4,900
ObjectId("5c825dd82dcf3568a17d27e0"),18,Россия,1,400
ObjectId("5c825dd82dcf3568a17d27e1"),766,Россия,4,250
ObjectId("5c825dd82dcf3568a17d27e2"),1076,Россия,3,900
ObjectId("5c825dd82dcf3568a17d27e3"),1713,Россия,1,600
ObjectId("5c825dd82dcf3568a17d27e4"),248,Россия,3,500
ObjectId("5c825dd82dcf3568a17d27e5"),2488,Россия,1,700
ObjectId("5c825dd82dcf3568a17d27e6"),1794,Россия,1,700
ObjectId("5c825dd82dcf3568a17d27e7"),2023,Россия,2,800
ObjectId("5c825dd82dcf3568a17d27e9"),1548,Россия,3,800
ObjectId("5c825dd82dcf3568a17d27ea"),1976,Россия,1,800
ObjectId("5c825dd82dcf3568a17d27eb"),1378,Россия,4,900
ObjectId("5c825dd82dcf3568a17d27ec"),1449,Россия,4,700
ObjectId("5c825dd82dcf3568a17d27ed"),110,Россия,3,600
ObjectId("5c825dd82dcf3568a17d27ee"),1422,Россия,4,800
ObjectId("5c825dd82dcf3568a17d27f0"),785,Россия,3,700
ObjectId("5c825dd82dcf3568a17d27f1"),2200,Россия,3,700
